Bangla,English,Botany,Zoology,Physics,Chemistry,Math,Ict,Gpa
72,45,47,37,40,43,29,58,3.07
69,44,49,52,41,37,22,55,3.07
64,46,43,55,30,42,21,58,3.07
55,36,39,59,38,48,26,56,3.07
53,57,30,49,40,39,18,53,3.07
33,42,50,44,49,51,37,51,3
62,52,47,42,32,35,24,59,3
54,54,44,55,33,41,27,44,3
60,42,42,51,36,37,20,60,3
59,37,31,41,55,44,19,60,3
52,50,41,44,42,38,23,41,3
56,53,37,47,41,34,19,57,2.93
57,52,33,50,33,40,17,58,2.93
50,47,46,57,34,38,6,44,2.93
54,44,47,30,47,33,35,49,2.92
58,46,33,49,54,34,29,50,2.83
70,46,38,30,37,36,30,55,2.83
48,57,37,48,42,34,20,57,2.79
58,45,37,49,37,38,16,57,2.79
58,51,32,49,31,43,28,44,2.75
57,46,36,43,46,40,31,36,2.75
64,37,33,48,39,34,21,58,2.71
47,57,40,44,41,32,16,42,2.71
61,38,41,44,36,38,12,45,2.71
57,37,37,43,37,34,32,60,2.67
56,55,37,44,33,35,24,50,2.64
43,33,45,49,41,36,24,45,2.64
47,55,39,36,35,36,19,57,2.57
60,44,40,45,34,36,29,33,2.57
54,45,33,48,28,37,20,54,2.5
57,34,35,47,34,34,22,56,2.5
44,44,35,53,35,35,9,48,2.5
40,55,35,30,43,35,15,46,2.5
47,42,31,38,33,33,21,58,2.43
44,39,42,36,42,44,16,33,2.29
40,38,37,30,44,33,31,35,2
