"Rank","Bangla","English","Botany","Zoology","Physics","Chemistry","Math","Ict","Total","Gpa"
"470","68","48","48","51","52","35","29","59","390","3.17"
"471","58","55","43","35","52","47","29","58","377","3.17"
"472","74","33","46","39","48","29","33","61","363","3.17"
"473","63","56","38","43","42","35","36","50","363","3.17"
"475","54","37","38","44","44","43","40","57","357","3.17"
"476","57","51","41","43","41","37","31","55","356","3.17"
"477","68","46","38","52","38","43","27","56","368","3.14"
"478","52","61","43","44","33","46","30","57","366","3.14"
"479","59","61","33","51","41","38","23","54","360","3.14"
"480","61","58","41","52","32","40","19","55","358","3.14"
"481","50","53","36","41","42","42","32","60","356","3.14"
"482","36","48","43","50","56","52","34","46","365","3.08"
"483","49","41","32","43","55","46","44","41","351","3.08"
"484","66","60","37","45","33","44","31","55","371","3.07"
"485","72","45","47","37","40","43","29","58","371","3.07"
"486","69","44","49","52","41","37","22","55","369","3.07"
"488","64","46","43","55","30","42","21","58","359","3.07"
"489","55","36","39","59","38","48","26","56","357","3.07"
"490","53","57","30","49","40","39","18","53","339","3.07"
"491","33","42","50","44","49","51","37","51","357","3"
"492","62","52","47","42","32","35","24","59","353","3"
"493","54","54","44","55","33","41","27","44","352","3"
"495","60","42","42","51","36","37","20","60","348","3"
"496","59","37","31","41","55","44","19","60","346","3"
"497","52","50","41","44","42","38","23","41","331","3"
"498","56","53","37","47","41","34","19","57","344","2.93"
"499","57","52","33","50","33","40","17","58","340","2.93"
"501","50","47","46","57","34","38","6","44","322","2.93"
"502","54","44","47","30","47","33","35","49","339","2.92"
"503","58","46","33","49","54","34","29","50","353","2.83"
"504","70","46","38","30","37","36","30","55","342","2.83"
"505","48","57","37","48","42","34","20","57","343","2.79"
"506","58","45","37","49","37","38","16","57","337","2.79"
"507","58","51","32","49","31","43","28","44","336","2.75"
"508","57","46","36","43","46","40","31","36","335","2.75"
"509","64","37","33","48","39","34","21","58","334","2.71"
"511","47","57","40","44","41","32","16","42","319","2.71"
"512","61","38","41","44","36","38","12","45","315","2.71"
"513","57","37","37","43","37","34","32","60","337","2.67"
